user,department,isolation_forest,aggregated_score
user2,Customer Care,0.10654964934069366,0.10654964934069366
user3,Customer Care,0.1584491949252309,0.1584491949252309
user6,Customer Care,0.0813053698232753,0.0813053698232753
user7,Customer Care,0.14348813054463272,0.14348813054463272
user11,Customer Care,0.0,0.0
user14,Customer Care,0.12888252439519232,0.12888252439519232
user15,Customer Care,0.1745871472438807,0.1745871472438807
user22,Customer Care,1.0000000000000002,1.0000000000000002
user4,Finance,0.1492988195516678,0.1492988195516678
user8,Finance,0.30999375779004756,0.30999375779004756
user10,Finance,0.020638454034115572,0.020638454034115572
user12,Finance,0.32322382470964905,0.32322382470964905
user17,Finance,0.0,0.0
user20,Finance,1.0000000000000004,1.0000000000000004
user1,IT Support,0.0,0.0
user5,IT Support,0.5027896841747541,0.5027896841747541
user9,IT Support,0.8223693511780672,0.8223693511780672
user13,IT Support,1.0,1.0
user16,IT Support,0.6884202377022293,0.6884202377022293
user18,IT Support,0.2632615186075249,0.2632615186075249
user19,IT Support,0.4987956109254297,0.4987956109254297
